C1:1
C18:1
C2:1
C3:1
C4:1
J1:1
J2:1
J3:1
J4:1
Q5:1
Q6:1
Q7:1
R10:1
R11:1
R12:1
R13:1
R14:1
R9:1
U1:1
U2:1
